"Account","Category","Audience_Country","Authentic_engagement","Rank"
"abcdefghi__lmnopqrstuvwxyz","Music|Entertainment","United States",13400000,16
"jin","Music|Entertainment","United States",11100000,26
"agustd","Music","United States",10600000,27
"thv","Music|Entertainment","United States",10400000,21
"rkive","Music|Entertainment","United States",8900000,32
"uarmyhope","Music|Dance|Entertainment","United States",8500000,34
"cristiano","Sports with a ball","India",7800000,1
"lalalalisa_m","Music","Indonesia",7500000,12
"jennierubyjane","Music","Indonesia",6400000,13
"sooyaaa__","Music|Beauty","Indonesia",6300000,19
